Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Manufacturer Name  field with Numeric values in the edit option,RET-67,10087,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 6:13 AM,08/Sep/21 6:49 AM,08/Sep/21 6:13 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000in:,,RET Sprint 1,,,,,,,,Done
Verify that after clicking on save button you get a sucessfull message on the home page,RET-66,10086,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 4:49 AM,08/Sep/21 4:57 AM,08/Sep/21 4:49 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000if:,,RET Sprint 1,,,,,,,,Done
Verify that the search space is present in the image  manager or not,RET-65,10085,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,06/Sep/21 12:19 PM,07/Sep/21 5:08 AM,08/Sep/21 4:45 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000i7:,,RET Sprint 1,,,,,,,,Done
Sort order is accepting  with Alphanumeric character ,RET-64,10084,Bug,To Do,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,High,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,06/Sep/21 11:41 AM,09/Sep/21 3:36 AM,09/Sep/21 3:36 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,RET-61,RET-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hz:,,RET Sprint 1,,,,,,,,To Do
Verify that  clicking the parent icon in image manager it redirect to parent folder when the admin is in subfolder,RET-62,10082,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,06/Sep/21 9:39 AM,07/Sep/21 5:09 AM,08/Sep/21 11:05 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hr:,,RET Sprint 1,,,,,,,,Done
Verify if admin writes alphabet and numeric value in the sort order it should not accept it,RET-61,10081,Test,blocked,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,06/Sep/21 6:28 AM,07/Sep/21 6:54 AM,09/Sep/21 4:50 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hj:,,RET Sprint 1,,,,,,,,In Progress
Verify if the admin add special character in the sort order it should give default value on the homepage,RET-60,10080,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,06/Sep/21 6:26 AM,07/Sep/21 5:59 AM,09/Sep/21 4:50 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hb:,,RET Sprint 1,,,,,,,,Done
 Verify that the  in edit page have  image  field and should have the orignal image,RET-59,10079,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,03/Sep/21 10:07 AM,07/Sep/21 5:08 AM,09/Sep/21 4:50 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000h3:,,RET Sprint 1,,,,,,,,Done
Verify that the  in edit page have sortorder  and should have the orignal order already witten in placeholder,RET-58,10078,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,03/Sep/21 10:03 AM,07/Sep/21 5:08 AM,09/Sep/21 4:50 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gv:,,RET Sprint 1,,,,,,,,Done
Verify the cancel button will not save the changes and will revert back to the home page of manufacturer,RET-57,10077,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,03/Sep/21 9:57 AM,07/Sep/21 5:59 AM,09/Sep/21 4:50 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gn:,,RET Sprint 1,,,,,,,,Done
